公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態
22555003,統一超商股份有限公司,01846195,台北市第一七０分公司,臺北市士林區文林路一六九號一樓,01
22555003,統一超商股份有限公司,16080140,台北巿第三四二分公司,臺北市松山區健康路224號１樓,01
22555003,統一超商股份有限公司,16080155,台北縣第２５５分公司,新北市三峽區永館里９鄰民生街１０２號１樓,03
22555003,統一超商股份有限公司,16080161,台北縣第２５６分公司,新北市三峽區鳶山里十二鄰中山路１８６號１樓,01
22555003,統一超商股份有限公司,16080177,新竹市第２６分公司,新竹市民富里７鄰北大路３４２號,01
22555003,統一超商股份有限公司,16080182,新竹市第２７分公司,新竹巿新民里北大路２８６號,03
22555003,統一超商股份有限公司,16080198,新竹巿第二十八分公司,新竹巿金華里９鄰田美三街五十號,03
22555003,統一超商股份有限公司,16080253,高雄巿第１５２分公司,高雄市小港區鳳源里鳳林路181、183號1樓,01
22555003,統一超商股份有限公司,16080269,高雄巿第１５１分公司,高雄市前鎮區草衙里后安路１４６號１樓,01
22555003,統一超商股份有限公司,16080275,桃園縣第４５分公司,桃園市蘆竹區南山路三段306、308號1樓,01
22555003,統一超商股份有限公司,16080280,高雄巿第１５３分公司,高雄市三民區九如一路４４６號１樓,03
22555003,統一超商股份有限公司,16080296,高雄巿第３５分公司,高雄市左營區新下里華夏路２５６號１樓,01
22555003,統一超商股份有限公司,16080303,台南市第七十分公司,臺南市新化區協興里中山路624、626號1樓,01
22555003,統一超商股份有限公司,16080319,宜蘭縣第6分公司,宜蘭縣羅東鎮南昌街53巷6-3號1樓,01
22555003,統一超商股份有限公司,16080325,台南市第九十分公司,臺南市新營區民治東路1號1樓,01
22555003,統一超商股份有限公司,16080330,雲林縣第１９分公司,雲林縣北港鎮華勝里公園路二十二號１樓,03
22555003,統一超商股份有限公司,16080346,苗栗縣第１２分公司,苗栗縣苗栗市嘉盛里十鄰為公路７４１號,03
22555003,統一超商股份有限公司,16080351,苗栗縣第１１分公司,苗栗縣頭份市忠孝里十二鄰信東路１５８號,01
22555003,統一超商股份有限公司,16080423,台中巿第一一五分公司,臺中市西屯區西墩里黎明路3段348號1樓,01
22555003,統一超商股份有限公司,16080438,屏東縣第２３分公司,屏東縣麟洛鄉中山路166、166-1、166-2號1樓,01
22555003,統一超商股份有限公司,16080444,屏東縣第２４分公司,屏東縣屏東市中山路１號１樓,03
22555003,統一超商股份有限公司,16080459,高雄巿第１５４分公司,高雄市三民區安吉里民族一路九十八號１樓,03
22555003,統一超商股份有限公司,16081133,台北縣第二五七分公司,新北市三重區光復路一段82號1樓,01
22555003,統一超商股份有限公司,16081324,台北縣第２５８分公司,新北市板橋區中山路二段172號1樓,03
22555003,統一超商股份有限公司,16081339,新竹巿第２９分公司,新竹市光復路二段１６３號１樓,03
22555003,統一超商股份有限公司,16081730,台北縣第２６０分公司,新北市新店區寶慶街66號,01
22555003,統一超商股份有限公司,16081746,台北縣第２５９分公司,新北市新店區北新路２５６號１樓,03
22555003,統一超商股份有限公司,16081751,桃園縣第９２分公司,桃園市桃園區力行路156號1樓,01
22555003,統一超商股份有限公司,16081767,台南巿第１００分公司,臺南市東區路東里大同路二段九十五–３號１樓,01
22555003,統一超商股份有限公司,16082040,台南市第九十九分公司,臺南市安南區城中里安中路５９９號１樓,01
22555003,統一超商股份有限公司,16082127,桃園縣第９３分公司,桃園市八德區茄苳里２鄰中華路３１６、３１８、３２０、３２,03
22555003,統一超商股份有限公司,16082132,桃園縣第９４分公司,桃園市中壢區慈惠三街１５３號１樓,03
22555003,統一超商股份有限公司,16082148,台北巿第二二四分公司,臺北市中山區民權東路3段71、73號1樓,01
22555003,統一超商股份有限公司,16082153,台中巿第１１６分公司,臺中市東區十甲路１３２、１３２–１號１樓,03
22555003,統一超商股份有限公司,16082169,彰化縣第三分公司,彰化縣二水鄉員集路4段6、8、10號1樓,01
22555003,統一超商股份有限公司,16082175,台北巿第２３３分公司,臺北市南港區東新街80巷1號1樓、108巷2弄30號1樓,01
22555003,統一超商股份有限公司,16082180,高雄巿第１５５分公司,高雄市前金區新生里七賢二路２５４號１樓,03
22555003,統一超商股份有限公司,16082196,高雄市第三三四分公司,高雄市鳳山區武漢里武慶二路52、54號１樓,01
22555003,統一超商股份有限公司,16082647,台北縣第２６１分公司,新北市板橋區松江街１１８號１樓,03
22555003,統一超商股份有限公司,16082652,台北縣第２６２分公司,新北市中和區景平路５１７、５１９號,03
22555003,統一超商股份有限公司,16082674,台北縣第１０３分公司,新北市貢寮區延平街63號1樓,01
22555003,統一超商股份有限公司,16082787,台北巿第３４３分公司,臺北市中山區民生東路二段157號,01
22555003,統一超商股份有限公司,16082793,屏東縣第２５分公司,屏東縣內埔鄉南寧路十九號,01
22555003,統一超商股份有限公司,16083110,嘉義縣第８分公司,嘉義縣朴子市竹圍里五鄰南通路三段七六七、七六九號一樓,03
22555003,統一超商股份有限公司,16083391,嘉義巿第２９分公司,嘉義市西區福全里三十四鄰八德路七十三號,01
22555003,統一超商股份有限公司,16083408,台中市第一０三分公司,臺中市霧峰區坑口里中正路563、563-1號1樓,01
22555003,統一超商股份有限公司,16083414,台中縣第７６分公司,臺中市太平區樹孝路１０９號１樓,03
22555003,統一超商股份有限公司,16083603,台北縣第２６３分公司,新北市板橋區國慶路151號1樓,01
22555003,統一超商股份有限公司,16083619,台北縣第２６４分公司,新北市樹林區三福街39、41號1樓,01
22555003,統一超商股份有限公司,16083625,桃園縣第９５分公司,桃園市桃園區西湖里三民路三段１９０號１樓,03
22555003,統一超商股份有限公司,16083694,台北縣第２６６分公司,新北市三重區中正北路１８９號１樓,03
22555003,統一超商股份有限公司,16083701,台北縣第二六七分公司,新北市樹林區樹林市三俊街172號1樓,01
22555003,統一超商股份有限公司,16083717,新北市第二六八分公司,新北市樹林區光華街2、4、6號1樓,01
22555003,統一超商股份有限公司,16083723,台北巿第２３７分公司,臺北市信義區吳興街257、259號1樓,01
22555003,統一超商股份有限公司,16083738,台北巿第２１３分公司,臺北市中山區伊通街30號(1樓),01
22555003,統一超商股份有限公司,16083744,台北縣第２６５分公司,新北市淡水區賢孝里６鄰淡金路四段５３０號,03
22555003,統一超商股份有限公司,16083759,基隆巿第１０分公司,基隆市安樂區基金一路１６８–二十一號１樓,03
22555003,統一超商股份有限公司,16083765,台北縣第２６９分公司,新北市新店區安和路一段１、３號１樓,03
22555003,統一超商股份有限公司,16083771,台中巿第一一七分公司,臺中市東區自由路三段２２６號１樓、進德路七十七號１樓,01
22555003,統一超商股份有限公司,16083786,台中巿第一一八分公司,臺中市南區復興路三段138、140號1樓,01
22555003,統一超商股份有限公司,16083792,台中縣第七十七分公司,臺中市潭子區新興路一段３５４號１樓,03
22555003,統一超商股份有限公司,16084011,高雄市第四四八分公司,高雄市旗山區瑞吉里延平一路446號1樓,01
22555003,統一超商股份有限公司,16084238,台南縣第五十二分公司,臺南市仁德區二行村二仁路1段151號1樓,01
22555003,統一超商股份有限公司,16084244,台北縣第２７０分公司,新北市新莊區化成路２８３號１樓,03
22555003,統一超商股份有限公司,16084259,高雄巿第十一分公司,高雄市三民區寶玉里大豐二路348、350、352號1樓,01
22555003,統一超商股份有限公司,16084265,高雄縣第５２分公司,高雄市鳳山區五甲一路１６２號,03
